Date	Open	Change %
01/03/1950	16.66	0.00%
01/04/1950	16.85	1.14%
01/05/1950	16.93	0.47%
01/06/1950	16.98	0.30%
01/09/1950	17.08	0.59%
01/10/1950	17.03	-0.29%
01/11/1950	17.09	0.35%
01/12/1950	16.76	-1.93%
01/13/1950	16.67	-0.54%
01/16/1950	16.72	0.30%
01/17/1950	16.86	0.84%
01/18/1950	16.85	-0.06%
01/19/1950	16.87	0.12%
01/20/1950	16.9	0.18%
01/23/1950	16.92	0.12%
01/24/1950	16.86	-0.35%
01/25/1950	16.74	-0.71%
01/26/1950	16.73	-0.06%
01/27/1950	16.82	0.54%
01/30/1950	17.02	1.19%
01/31/1950	17.05	0.18%
02/01/1950	17.05	0.00%
02/02/1950	17.23	1.06%
02/03/1950	17.29	0.35%
02/06/1950	17.32	0.17%
02/07/1950	17.23	-0.52%
02/08/1950	17.21	-0.12%
02/09/1950	17.28	0.41%
02/10/1950	17.24	-0.23%
02/14/1950	17.06	-1.04%
02/15/1950	17.06	0.00%
02/16/1950	16.99	-0.41%
02/17/1950	17.15	0.94%
02/20/1950	17.2	0.29%
02/21/1950	17.17	-0.17%
02/23/1950	17.21	0.23%
02/24/1950	17.28	0.41%
02/27/1950	17.28	0.00%
02/28/1950	17.22	-0.35%
03/01/1950	17.24	0.12%
03/02/1950	17.23	-0.06%
03/03/1950	17.29	0.35%
03/06/1950	17.32	0.17%
03/07/1950	17.2	-0.69%
03/08/1950	17.19	-0.06%
03/09/1950	17.07	-0.70%
03/10/1950	17.09	0.12%
03/13/1950	17.12	0.18%
03/14/1950	17.25	0.76%
03/15/1950	17.45	1.16%
03/16/1950	17.49	0.23%
03/17/1950	17.45	-0.23%
03/20/1950	17.44	-0.06%
03/21/1950	17.45	0.06%
03/22/1950	17.55	0.57%
03/23/1950	17.56	0.06%
03/24/1950	17.56	0.00%
03/27/1950	17.46	-0.57%
03/28/1950	17.53	0.40%
03/29/1950	17.44	-0.51%
03/30/1950	17.3	-0.80%
03/31/1950	17.29	-0.06%
04/03/1950	17.53	1.39%
04/04/1950	17.55	0.11%
04/05/1950	17.63	0.46%
04/06/1950	17.78	0.85%
04/10/1950	17.85	0.39%
04/11/1950	17.75	-0.56%
04/12/1950	17.94	1.07%
04/13/1950	17.98	0.22%
04/14/1950	17.96	-0.11%
04/17/1950	17.88	-0.45%
04/18/1950	18.03	0.84%
04/19/1950	18.05	0.11%
04/20/1950	17.93	-0.66%
04/21/1950	17.96	0.17%
04/24/1950	17.83	-0.72%
04/25/1950	17.83	0.00%
04/26/1950	17.76	-0.39%
04/27/1950	17.86	0.56%
04/28/1950	17.96	0.56%
05/01/1950	18.22	1.45%
05/02/1950	18.11	-0.60%
05/03/1950	18.27	0.88%
05/04/1950	18.12	-0.82%
05/05/1950	18.22	0.55%
05/08/1950	18.27	0.27%
05/09/1950	18.27	0.00%
05/10/1950	18.29	0.11%
05/11/1950	18.29	0.00%
05/12/1950	18.18	-0.60%
05/15/1950	18.26	0.44%
05/16/1950	18.44	0.99%
05/17/1950	18.52	0.43%
05/18/1950	18.56	0.22%
05/19/1950	18.68	0.65%
05/22/1950	18.6	-0.43%
05/23/1950	18.71	0.59%
05/24/1950	18.69	-0.11%
05/25/1950	18.69	0.00%
05/26/1950	18.67	-0.11%
05/29/1950	18.72	0.27%
05/31/1950	18.78	0.32%
06/01/1950	18.77	-0.05%
06/02/1950	18.79	0.11%
06/05/1950	18.6	-1.01%
06/06/1950	18.88	1.51%
06/07/1950	18.93	0.26%
06/08/1950	19.14	1.11%
06/09/1950	19.26	0.63%
06/12/1950	19.4	0.73%
06/13/1950	19.25	-0.77%
06/14/1950	18.98	-1.40%
06/15/1950	18.93	-0.26%
06/16/1950	18.97	0.21%
06/19/1950	18.92	-0.26%
06/20/1950	18.83	-0.48%
06/21/1950	19.0	0.90%
06/22/1950	19.16	0.84%
06/23/1950	19.14	-0.10%
06/26/1950	18.11	-5.38%
06/27/1950	17.91	-1.10%
06/28/1950	18.11	1.12%
06/29/1950	17.44	-3.70%
06/30/1950	17.69	1.43%
07/03/1950	17.64	-0.28%
07/05/1950	17.81	0.96%
07/06/1950	17.91	0.56%
07/07/1950	17.67	-1.34%
07/10/1950	17.59	-0.45%
07/11/1950	17.32	-1.53%
07/12/1950	16.87	-2.60%
07/13/1950	16.69	-1.07%
07/14/1950	16.87	1.08%
07/17/1950	16.68	-1.13%
07/18/1950	17.06	2.28%
07/19/1950	17.36	1.76%
07/20/1950	17.61	1.44%
07/21/1950	17.59	-0.11%
07/24/1950	17.48	-0.63%
07/25/1950	17.23	-1.43%
07/26/1950	17.27	0.23%
07/27/1950	17.5	1.33%
07/28/1950	17.69	1.09%
07/31/1950	17.84	0.85%
08/01/1950	18.02	1.01%
08/02/1950	17.95	-0.39%
08/03/1950	17.99	0.22%
08/04/1950	18.14	0.83%
08/07/1950	18.41	1.49%
08/08/1950	18.46	0.27%
08/09/1950	18.61	0.81%
08/10/1950	18.48	-0.70%
08/11/1950	18.28	-1.08%
08/14/1950	18.29	0.05%
08/15/1950	18.32	0.16%
08/16/1950	18.34	0.11%
08/17/1950	18.54	1.09%
08/18/1950	18.68	0.76%
08/21/1950	18.7	0.11%
08/22/1950	18.68	-0.11%
08/23/1950	18.82	0.75%
08/24/1950	18.79	-0.16%
08/25/1950	18.54	-1.33%
08/28/1950	18.53	-0.05%
